vin	V(vgs)	V(vo)	I(Rd)
2.178999999999959e+000	2.179000e+000	4.455130e+000	2.724351e-003
2.179999999999958e+000	2.180000e+000	4.445459e+000	2.772706e-003
2.180999999999958e+000	2.181000e+000	4.435627e+000	2.821865e-003
2.181999999999958e+000	2.182000e+000	4.425632e+000	2.871838e-003
2.182999999999958e+000	2.183000e+000	4.415472e+000	2.922639e-003
2.183999999999958e+000	2.184000e+000	4.405144e+000	2.974280e-003
2.184999999999958e+000	2.185000e+000	4.394645e+000	3.026773e-003
2.185999999999958e+000	2.186000e+000	4.383974e+000	3.080131e-003
2.186999999999958e+000	2.187000e+000	4.373127e+000	3.134365e-003
2.187999999999958e+000	2.188000e+000	4.362102e+000	3.189491e-003
2.188999999999957e+000	2.189000e+000	4.350896e+000	3.245519e-003
2.189999999999957e+000	2.190000e+000	4.339507e+000	3.302464e-003
2.190999999999957e+000	2.191000e+000	4.327932e+000	3.360338e-003
2.191999999999957e+000	2.192000e+000	4.316169e+000	3.419155e-003
2.192999999999957e+000	2.193000e+000	4.304214e+000	3.478930e-003
2.193999999999957e+000	2.194000e+000	4.292065e+000	3.539674e-003
