v1	I(Dgreen)	I(Dred)	I(Dyellow)
3.439999999999971e+00	2.920919e-03	7.962441e-03	5.285720e-03
3.449999999999970e+00	2.992179e-03	8.051688e-03	5.368882e-03
3.459999999999970e+00	3.063925e-03	8.141040e-03	5.452261e-03
3.469999999999970e+00	3.136146e-03	8.230497e-03	5.535851e-03
3.479999999999970e+00	3.208827e-03	8.320056e-03	5.619647e-03
3.489999999999970e+00	3.281958e-03	8.409714e-03	5.703644e-03
3.499999999999969e+00	3.355525e-03	8.499472e-03	5.787839e-03
3.509999999999969e+00	3.429518e-03	8.589326e-03	5.872227e-03
3.519999999999969e+00	3.503924e-03	8.679276e-03	5.956803e-03
3.529999999999969e+00	3.578735e-03	8.769318e-03	6.041565e-03
3.539999999999969e+00	3.653938e-03	8.859453e-03	6.126506e-03
3.549999999999968e+00	3.729524e-03	8.949677e-03	6.211624e-03
3.559999999999968e+00	3.805483e-03	9.039991e-03	6.296915e-03
3.569999999999968e+00	3.881805e-03	9.130391e-03	6.382375e-03
3.579999999999968e+00	3.958482e-03	9.220877e-03	6.468002e-03
3.589999999999967e+00	4.035505e-03	9.311447e-03	6.553790e-03
3.599999999999967e+00	4.112863e-03	9.402100e-03	6.639738e-03
3.609999999999967e+00	4.190551e-03	9.492834e-03	6.725841e-03
3.619999999999967e+00	4.268559e-03	9.583648e-03	6.812097e-03
3.629999999999967e+00	4.346879e-03	9.674542e-03	6.898502e-03
3.639999999999966e+00	4.425504e-03	9.765512e-03	6.985054e-03
3.649999999999966e+00	4.504427e-03	9.856559e-03	7.071749e-03
3.659999999999966e+00	4.583641e-03	9.947681e-03	7.158586e-03
3.669999999999966e+00	4.663138e-03	1.003888e-02	7.245561e-03
3.679999999999966e+00	4.742912e-03	1.013015e-02	7.332671e-03
3.689999999999965e+00	4.822957e-03	1.022149e-02	7.419914e-03
3.699999999999965e+00	4.903265e-03	1.031290e-02	7.507287e-03
3.709999999999965e+00	4.983833e-03	1.040438e-02	7.594789e-03
3.719999999999965e+00	5.064652e-03	1.049592e-02	7.682416e-03
3.729999999999964e+00	5.145717e-03	1.058754e-02	7.770166e-03
3.739999999999964e+00	5.227024e-03	1.067922e-02	7.858037e-03
3.749999999999964e+00	5.308567e-03	1.077097e-02	7.946027e-03
3.759999999999964e+00	5.390340e-03	1.086278e-02	8.034133e-03
3.769999999999964e+00	5.472337e-03	1.095465e-02	8.122355e-03
3.779999999999963e+00	5.554556e-03	1.104659e-02	8.210688e-03
3.789999999999963e+00	5.636990e-03	1.113859e-02	8.299132e-03
3.799999999999963e+00	5.719636e-03	1.123065e-02	8.387685e-03
3.809999999999963e+00	5.802487e-03	1.132277e-02	8.476344e-03
3.819999999999963e+00	5.885541e-03	1.141495e-02	8.565107e-03
3.829999999999962e+00	5.968793e-03	1.150718e-02	8.653975e-03
3.839999999999962e+00	6.052239e-03	1.159947e-02	8.742943e-03
3.849999999999962e+00	6.135874e-03	1.169182e-02	8.832010e-03
3.859999999999962e+00	6.219695e-03	1.178423e-02	8.921176e-03
3.869999999999961e+00	6.303699e-03	1.187669e-02	9.010438e-03
3.879999999999961e+00	6.387881e-03	1.196920e-02	9.099795e-03
3.889999999999961e+00	6.472238e-03	1.206177e-02	9.189244e-03
3.899999999999961e+00	6.556766e-03	1.215439e-02	9.278785e-03
3.909999999999961e+00	6.641462e-03	1.224706e-02	9.368417e-03
3.919999999999960e+00	6.726324e-03	1.233978e-02	9.458137e-03
3.929999999999960e+00	6.811346e-03	1.243256e-02	9.547944e-03
